"X","taxon_name","genus","family","leaf_mass_per_area","seed_dry_mass","leaf_length","leaf_width","plant_height","original_leaf_mass_per_area"
11683,"Acacia quadrilateralis","Acacia","Fabaceae",NA,10.6,40,0.75,3,NA
11684,"Acacia quadrisulcata","Acacia","Fabaceae",NA,NA,13.5,NA,1,NA
11685,"Acacia quinquenervia","Acacia","Fabaceae",NA,NA,45,1.5,1.5,NA
11686,"Acacia quornensis","Acacia","Fabaceae",137,17.4,37.5,7,3,137
11687,"Acacia racospermoides","Acacia","Fabaceae",NA,54,80,15,6,NA
11688,"Acacia ramiflora","Acacia","Fabaceae",NA,NA,100,5.5,3,NA
11689,"Acacia recurvata","Acacia","Fabaceae",NA,4.62,32.5,6,2.5,NA
11690,"Acacia redolens","Acacia","Fabaceae",NA,6.12,47.5,9,2,NA
11691,"Acacia rendlei","Acacia","Fabaceae",NA,NA,8.25,6,1,NA
11692,"Acacia repanda","Acacia","Fabaceae",NA,5.71,47.5,2,2,NA
11693,"Acacia repens","Acacia","Fabaceae",NA,NA,12,NA,NA,NA
11694,"Acacia resinicostata","Acacia","Fabaceae",NA,NA,7.5,0.75,3,NA
11695,"Acacia resinistipulea","Acacia","Fabaceae",NA,NA,21.5,4.5,3,NA
11696,"Acacia resinosa","Acacia","Fabaceae",NA,NA,55,NA,3,NA
11697,"Acacia restiacea","Acacia","Fabaceae",NA,5.85,16,NA,1.5,NA
11698,"Acacia retinervis","Acacia","Fabaceae",NA,NA,105,15.5,10,NA
11699,"Acacia retinodes","Acacia","Fabaceae",118,15.3,172,12,10,118
11700,"Acacia retivenea","Acacia","Fabaceae",NA,36.3,77.5,42.5,3,NA
11701,"Acacia retrorsa","Acacia","Fabaceae",NA,13.1,20,1.5,NA,NA
11702,"Acacia rhamphophylla","Acacia","Fabaceae",NA,3.03,14,1.25,0.4,NA
11703,"Acacia rhigiophylla","Acacia","Fabaceae",NA,4.27,18.8,2.05,3,NA
11704,"Acacia riceana","Acacia","Fabaceae",NA,11.5,33.8,2,10,NA
11705,"Acacia richardsii","Acacia","Fabaceae",NA,NA,30,6.5,4,NA
11706,"Acacia ridleyana","Acacia","Fabaceae",NA,NA,18.5,2.75,0.9,NA
11707,"Acacia rigescens","Acacia","Fabaceae",NA,NA,65,3.5,3,NA
11708,"Acacia neorigida","Acacia","Fabaceae",NA,NA,11.5,1.6,1.5,NA
11709,"Acacia rivalis","Acacia","Fabaceae",NA,NA,90,4.75,5,NA
11710,"Acacia robiniae","Acacia","Fabaceae",NA,NA,5.5,5.5,0.6,NA
11711,"Acacia rossei","Acacia","Fabaceae",NA,33.3,20,1.25,3,NA
11712,"Acacia rostellata","Acacia","Fabaceae",NA,NA,4.5,3,0.5,NA
11713,"Acacia rothii","Acacia","Fabaceae",NA,219,200,20,12,NA
11714,"Acacia roycei","Acacia","Fabaceae",NA,NA,60,NA,6,NA
11715,"Acacia rubricola","Acacia","Fabaceae",NA,NA,31.5,1.4,2,NA
11716,"Acacia rupicola","Acacia","Fabaceae",195,20.5,20,2.62,2.5,195
11717,"Acacia ruppii","Acacia","Fabaceae",NA,19.8,77.5,1.5,3,NA
11718,"Acacia ryaniana","Acacia","Fabaceae",NA,NA,18.5,11,0.3,NA
11719,"Acacia sabulosa","Acacia","Fabaceae",NA,NA,80,2.25,3,NA
11720,"Acacia saliciformis","Acacia","Fabaceae",117,23.3,82.5,11.8,7,117
11721,"Acacia saxatilis","Acacia","Fabaceae",NA,NA,27.5,5.5,1.5,NA
11722,"Acacia saxicola","Acacia","Fabaceae",NA,NA,10.8,2.35,1.5,NA
11723,"Acacia scabra","Acacia","Fabaceae",NA,NA,150,2.5,NA,NA
11724,"Acacia scalena","Acacia","Fabaceae",NA,NA,7.5,6.5,1.3,NA
11725,"Acacia scalpelliformis","Acacia","Fabaceae",NA,NA,32.5,8,NA,NA
11726,"Acacia sciophanes","Acacia","Fabaceae",NA,4.56,120,NA,3,NA
11727,"Acacia scirpifolia","Acacia","Fabaceae",NA,23.1,135,1.25,4,NA
11728,"Acacia scleroclada","Acacia","Fabaceae",NA,NA,45,2,1,NA
11729,"Acacia sclerophylla","Acacia","Fabaceae",262,3.94,31.8,3.17,3,262
11730,"Acacia scopulorum","Acacia","Fabaceae",NA,NA,90,5.25,5,NA
11731,"Acacia seclusa","Acacia","Fabaceae",NA,NA,125,17.5,5,NA
11732,"Acacia sedifolia","Acacia","Fabaceae",NA,NA,3.5,1,1.5,NA
11733,"Acacia semiaurea","Acacia","Fabaceae",NA,NA,52.5,14.5,NA,NA
11734,"Acacia semicircinalis","Acacia","Fabaceae",NA,NA,15,7.5,1,NA
11735,"Acacia semilunata","Acacia","Fabaceae",NA,10.5,22.5,7,5,NA
11736,"Acacia semirigida","Acacia","Fabaceae",NA,28,60,6,4,NA
11737,"Acacia semitrullata","Acacia","Fabaceae",NA,14.2,7.5,1.65,0.5,NA
11738,"Acacia sericata","Acacia","Fabaceae",NA,NA,115,40,10,NA
11739,"Acacia sericocarpa","Acacia","Fabaceae",NA,NA,17.5,8.5,2,NA
11740,"Acacia sericoflora","Acacia","Fabaceae",NA,NA,155,18,3.5,NA
11741,"Acacia sertiformis","Acacia","Fabaceae",NA,43.2,17.5,13,2,NA
11742,"Acacia sessilis","Acacia","Fabaceae",NA,NA,16,0.95,1,NA
11743,"Acacia sessilispica","Acacia","Fabaceae",NA,NA,82.5,NA,2.5,NA
11744,"Acacia setulifera","Acacia","Fabaceae",NA,NA,4.5,2.25,0.5,NA
11745,"Acacia shuttleworthii","Acacia","Fabaceae",NA,NA,10.5,7,0.5,NA
11746,"Acacia sibina","Acacia","Fabaceae",912,NA,140,NA,3,912
11747,"Acacia signata","Acacia","Fabaceae",356,NA,150,7,4,356
11748,"Acacia simmonsiana","Acacia","Fabaceae",NA,5.62,29.5,6,2,NA
11749,"Acacia simsii","Acacia","Fabaceae",NA,48.8,80,4.5,4,NA
11750,"Acacia simulans","Acacia","Fabaceae",NA,NA,10,NA,1,NA
11751,"Acacia singula","Acacia","Fabaceae",NA,NA,35,2.75,2,NA
11752,"Senegalia rugata","Senegalia","Fabaceae",NA,NA,7.75,2.15,NA,NA
11753,"Acacia smeringa","Acacia","Fabaceae",NA,NA,4.5,NA,1,NA
11754,"Acacia sorophylla","Acacia","Fabaceae",NA,NA,2,0.75,0.4,NA
11755,"Acacia spania","Acacia","Fabaceae",NA,NA,32.5,13,15,NA
11756,"Acacia sparsiflora","Acacia","Fabaceae",NA,6.09,124,7,15,NA
11757,"Acacia speckii","Acacia","Fabaceae",NA,NA,100,NA,3,NA
11758,"Acacia sphacelata","Acacia","Fabaceae",NA,NA,15.5,1.3,1.5,NA
11759,"Acacia sphaerostachya","Acacia","Fabaceae",NA,NA,40,5.5,2.5,NA
11760,"Acacia sphenophylla","Acacia","Fabaceae",NA,NA,7,3.25,1.3,NA
11761,"Acacia spilleriana","Acacia","Fabaceae",NA,27,25,15,2,NA
11762,"Acacia spinosissima","Acacia","Fabaceae",NA,NA,5.5,1.5,1.5,NA
11763,"Acacia spongolitica","Acacia","Fabaceae",NA,NA,50,5.5,2,NA
11764,"Acacia squamata","Acacia","Fabaceae",NA,8.79,45,1.5,0.6,NA
11765,"Acacia stanleyi","Acacia","Fabaceae",NA,11.5,225,NA,3.5,NA
11766,"Acacia startii","Acacia","Fabaceae",NA,23.3,37.5,15.5,2,NA
11767,"Acacia steedmanii","Acacia","Fabaceae",NA,9.76,75,15,4,NA
11768,"Acacia stellaticeps","Acacia","Fabaceae",330,13.4,16.5,7,2,330
11769,"Acacia stenoptera","Acacia","Fabaceae",NA,34.2,20,2.5,0.5,NA
11770,"Acacia stereophylla","Acacia","Fabaceae",NA,3.13,140,3.9,4,NA
