"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"228","Amyema seemeniana","Amyema","Loranthaceae",180,NA,NA,NA,80,NA,NA,NA,NA
"229","Amyema subcapitata","Amyema","Loranthaceae",45,NA,NA,NA,4,NA,NA,NA,NA
"230","Amyema thalassia","Amyema","Loranthaceae",35,NA,NA,NA,31,NA,NA,NA,NA
"231","Amyema tridactyla","Amyema","Loranthaceae",50,NA,NA,NA,1,NA,NA,NA,NA
"232","Amyema villiflora","Amyema","Loranthaceae",59.5,NA,NA,NA,27.2,NA,NA,NA,NA
"233","Amyema whitei","Amyema","Loranthaceae",70,NA,7,NA,40,NA,NA,NA,NA
"234","Amylotheca dictyophleba","Amylotheca","Loranthaceae",92.5,NA,NA,NA,40,NA,5040,NA,NA
"235","Amylotheca subumbellata","Amylotheca","Loranthaceae",115,NA,NA,NA,12,NA,NA,NA,NA
"236","Anemone crassifolia","Anemone","Ranunculaceae",37.5,1,3,0.35,37.5,NA,1940,NA,NA
"237","Anigozanthos bicolor subsp. bicolor","Anigozanthos","Haemodoraceae",225,NA,NA,0.6,NA,NA,NA,NA,NA
"238","Anigozanthos bicolor subsp. decrescens","Anigozanthos","Haemodoraceae",175,NA,NA,0.45,NA,NA,NA,NA,NA
