X,taxon_name,genus,family,leaf_mass_per_area,leaf_length,leaf_width,plant_height,leaf_area,wood_density,leaf_thickness,leaf_N_per_dry_mass,seed_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,plant_diameter_breast_height,leaf_lifespan
14923,Zieria baeuerlenii,Zieria,Rutaceae,NA,8.75,6.75,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
14924,Zieria buxijugum,Zieria,Rutaceae,NA,20,2.5,2,NA,NA,NA,NA,0.904,NA,NA,NA,NA
14925,Zieria covenyi,Zieria,Rutaceae,NA,30,8.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
14926,Zieria fraseri,Zieria,Rutaceae,NA,20.5,4.75,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14927,Zieria hindii,Zieria,Rutaceae,NA,22.5,3.5,1,NA,NA,NA,NA,0.416,NA,NA,NA,NA
14928,Zieria ingramii,Zieria,Rutaceae,NA,14,2,0.6,NA,NA,NA,NA,3.91,NA,NA,NA,NA
14929,Zieria involucrata,Zieria,Rutaceae,NA,42.5,10.5,NA,NA,NA,NA,NA,1.62,NA,NA,NA,NA
14930,Zieria murphyi,Zieria,Rutaceae,NA,40,6.75,2,NA,NA,NA,NA,1.21,NA,NA,NA,NA
14931,Zieria odorifera,Zieria,Rutaceae,NA,6,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
14932,Zieria prostrata,Zieria,Rutaceae,NA,13,5,NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA
14933,Zinnia peruviana,Zinnia,Asteraceae,NA,42.5,10,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
14934,Zornia dyctiocarpa,Zornia,Fabaceae,NA,19,3.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
14935,Zornia floribunda,Zornia,Fabaceae,NA,17.5,1.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
14936,Zornia muriculata,Zornia,Fabaceae,NA,16.5,3,0.4,NA,NA,NA,NA,1.07,NA,NA,NA,NA
14937,Zostera muelleri subsp. capricorni,Zostera,Zosteraceae,NA,66.6,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14938,Abrus precatorius subsp. africanus,Abrus,Fabaceae,NA,NA,NA,NA,578,NA,NA,NA,NA,NA,NA,NA,NA
14939,Cassytha filiformis,Cassytha,Lauraceae,NA,1.65,NA,NA,5,NA,NA,NA,38.2,NA,NA,NA,NA
14940,Colubrina asiatica var. asiatica,Colubrina,Rhamnaceae,NA,NA,NA,NA,22000,NA,NA,NA,NA,NA,NA,NA,NA
14941,Freycinetia scandens,Freycinetia,Pandanaceae,NA,NA,NA,20,19200,NA,NA,NA,0.148,NA,NA,NA,NA
14942,Glycine rubiginosa,Glycine,Fabaceae,NA,15,NA,NA,1890,NA,NA,NA,4.36,NA,NA,NA,NA
14943,Vigna vexillata var. youngiana,Vigna,Fabaceae,NA,NA,NA,NA,6650,NA,NA,NA,NA,NA,NA,NA,NA
14944,Vigna vexillata var. angustifolia,Vigna,Fabaceae,NA,48,68.5,NA,6650,NA,NA,NA,NA,NA,NA,NA,NA
14945,Macrozamia spiralis,Macrozamia,Zamiaceae,250,NA,NA,NA,710,NA,0.55,15.8,NA,0.665,568,NA,NA
14946,Eucalyptus,Eucalyptus,Myrtaceae,NA,NA,NA,NA,1070,NA,0.303,NA,NA,NA,NA,NA,NA
14947,Aeschynomene aspera,Aeschynomene,Fabaceae,NA,9,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
14948,Alysicarpus schomburgkii,Alysicarpus,Fabaceae,NA,80.5,4.5,1,NA,NA,NA,26,1.6,NA,425,NA,NA
14949,Alysicarpus brownii,Alysicarpus,Fabaceae,NA,84,5.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
14950,Alysicarpus muelleri,Alysicarpus,Fabaceae,NA,69.5,12.8,2,NA,NA,NA,NA,4.64,NA,NA,NA,NA
14951,Amaranthus rhombeus,Amaranthus,Amaranthaceae,NA,21.5,11.5,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
14952,Amaranthus undulatus,Amaranthus,Amaranthaceae,NA,25,17,1,NA,NA,NA,NA,0.272,NA,NA,NA,NA
14953,Ammannia baccifera,Ammannia,Lythraceae,NA,59,20.5,1,NA,NA,NA,NA,0.0273,NA,NA,NA,NA
14954,Amyema mackayensis,Amyema,Loranthaceae,NA,39,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14955,Austrodolichos sp. 'Kakadu',Austrodolichos,Fabaceae,NA,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14956,Austrodolichos errabundus,Austrodolichos,Fabaceae,NA,32,15,NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA
14957,Barringtonia acutangula subsp. Acutangula,Barringtonia,Lecythidaceae,NA,122,52.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14958,Bergia pedicellaris,Bergia,Elatinaceae,NA,22.5,7,0.4,NA,NA,NA,NA,0.00612,NA,NA,NA,NA
14959,Bergia pusilla,Bergia,Elatinaceae,NA,6,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
14960,Boerhavia albiflora,Boerhavia,Nyctaginaceae,NA,62,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14961,Boerhavia burbidgeana,Boerhavia,Nyctaginaceae,NA,40,19,2,NA,NA,NA,NA,3.27,NA,NA,NA,NA
14962,Boerhavia gardneri,Boerhavia,Nyctaginaceae,NA,35,20,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
14963,Byblis aquatica,Byblis,Byblidaceae,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14964,Byblis liniflora,Byblis,Byblidaceae,NA,50,NA,0.15,NA,NA,NA,NA,0.098,NA,NA,NA,NA
14965,Cajanus sp. [Cajanus eticulatus; NTH_2014],Cajanus,Fabaceae,NA,57.5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14966,Causonis maritima,Causonis,Vitaceae,NA,67.5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14967,Cajanus marmoratus,Cajanus,Fabaceae,NA,42.5,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14968,Cajanus sp. [Cajanus papuana; NTH_2014],Cajanus,Fabaceae,NA,78.5,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14969,Cajanus sp. [Cajanus rosea; NTH_2014],Cajanus,Fabaceae,NA,67.5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14970,Cajanus scarabaeoides var. pedunculatus,Cajanus,Fabaceae,NA,19.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14971,Cassytha candida,Cassytha,Lauraceae,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14972,Cassytha capillaris,Cassytha,Lauraceae,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14973,Chamaecrista absus,Chamaecrista,Fabaceae,NA,31,18,1,NA,NA,NA,NA,21.6,NA,NA,NA,NA
14974,Chamaecrista mimosoides,Chamaecrista,Fabaceae,NA,3.25,0.7,1,NA,NA,NA,NA,2.91,NA,NA,NA,NA
14975,Chamaecrista nigricans,Chamaecrista,Fabaceae,NA,7,1.45,1,NA,NA,NA,NA,3.61,NA,NA,NA,NA
14976,Chamaecrista sp. [Cassia harneyi Specht],Chamaecrista,Fabaceae,NA,16,3.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
14977,Christia australasica,Christia,Fabaceae,NA,11.2,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14978,Arivela bundeica,Arivela,Cleomaceae,NA,14.5,6,0.3,NA,NA,NA,NA,0.859,NA,NA,NA,NA
14979,Arivela insolata,Arivela,Cleomaceae,NA,11.5,0.375,0.4,NA,NA,NA,NA,2.64,NA,NA,NA,NA
14980,Arivela limmenensis,Arivela,Cleomaceae,NA,12.5,4.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14981,Arivela linophylla,Arivela,Cleomaceae,NA,21,1.05,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
14982,Arivela lophosperma,Arivela,Cleomaceae,NA,19.5,1.15,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
14983,Arivela microaustralica,Arivela,Cleomaceae,NA,30,6,1,NA,NA,NA,NA,0.545,NA,NA,NA,NA
14984,Areocleome oxalidea,Areocleome,Cleomaceae,NA,9.5,6.5,0.15,NA,NA,NA,NA,0.217,NA,NA,NA,NA
14985,Arivela tetrandra,Arivela,Cleomaceae,NA,18,1.75,0.6,NA,NA,NA,NA,0.9,NA,NA,NA,NA
14986,Arivela microphylla,Arivela,Cleomaceae,NA,5.75,2.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14987,Clitoria australis,Clitoria,Fabaceae,NA,49,27,1,NA,NA,NA,NA,58.7,NA,NA,NA,NA
14988,Cochlospermum gregorii,Cochlospermum,Bixaceae,NA,105,115,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
14989,Cochlospermum arafuricum,Cochlospermum,Bixaceae,NA,99.5,126,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
14990,Corchorus aestuans,Corchorus,Malvaceae,NA,48.5,23.5,1,NA,NA,NA,NA,0.643,NA,NA,NA,NA
14991,Corchorus capsularis,Corchorus,Malvaceae,NA,70,26.5,2,NA,NA,NA,NA,2.18,NA,NA,NA,NA
14992,Corchorus fascicularis,Corchorus,Malvaceae,NA,30,9,0.2,NA,NA,NA,NA,0.502,NA,NA,NA,NA
14993,Crotalaria alata,Crotalaria,Fabaceae,NA,30.5,8.75,0.5,NA,NA,NA,NA,24.4,NA,NA,NA,NA
14994,Crotalaria brevis,Crotalaria,Fabaceae,NA,13.5,3.75,0.3,NA,NA,NA,NA,2.34,NA,NA,NA,NA
14995,Crotalaria calycina,Crotalaria,Fabaceae,NA,100,13,1,NA,NA,NA,NA,2.99,NA,NA,NA,NA
14996,Crotalaria quinquefolia,Crotalaria,Fabaceae,NA,60,5.5,1,NA,NA,NA,NA,26.7,NA,NA,NA,NA
14997,Croton sp. [Croton sp. aff. dockr illii Airy Shaw; NTH_2014],Croton,Euphorbiaceae,NA,99.5,28.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
14998,Cucumis picrocarpus,Cucumis,Cucurbitaceae,NA,42.5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14999,Cucumis umbellatus,Cucumis,Cucurbitaceae,NA,20,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15000,Cyclocarpa stellaris,Cyclocarpa,Fabaceae,NA,6.75,2.35,0.3,NA,NA,NA,NA,0.548,NA,NA,NA,NA
15001,Decaisnina signata,Decaisnina,Loranthaceae,NA,108,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15002,Dendrolobium sp. 'Green Ant Ck',Dendrolobium,Fabaceae,NA,36,25,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15003,Dendrolobium stipatum,Dendrolobium,Fabaceae,NA,40,19.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15004,Grona pycnotricha,Grona,Fabaceae,NA,17.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15005,Desmodium sp. 'Limbunya',Desmodium,Fabaceae,NA,19.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15006,Aphyllodium biarticulatum,Aphyllodium,Fabaceae,NA,36.5,6.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15007,Desmodium brownii,Desmodium,Fabaceae,NA,33.2,2.75,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15008,Desmodium filiforme,Desmodium,Fabaceae,NA,23,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15009,Grona trichostachya,Grona,Fabaceae,NA,9.75,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15010,Desmodium sp. 'Melville Is.',Desmodium,Fabaceae,NA,35,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15011,Grona muelleri,Grona,Fabaceae,NA,34.5,7.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
15012,Desmodium sp. 'Pine Ck',Desmodium,Fabaceae,NA,17.5,9.5,0.35,NA,NA,NA,NA,1.47,NA,NA,NA,NA
15013,Dendrolobium polyneurum,Dendrolobium,Fabaceae,NA,48,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15014,Desmodium pulchellum,Desmodium,Fabaceae,NA,52.5,36.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15015,Desmodium velutinum,Desmodium,Fabaceae,NA,88.5,65,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15016,Diospyros rugosula,Diospyros,Ebenaceae,NA,60,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
15017,Drosera banksii,Drosera,Droseraceae,NA,2,2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
15018,Drosera brevicornis,Drosera,Droseraceae,NA,5,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15019,Drosera darwinensis,Drosera,Droseraceae,NA,3.25,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15020,Drosera dilatatopetiolaris,Drosera,Droseraceae,NA,23.5,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15021,Drosera falconeri,Drosera,Droseraceae,NA,9,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15022,Drosera fulva,Drosera,Droseraceae,NA,3.15,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15023,Dubouzetia australiensis,Dubouzetia,Elaeocarpaceae,NA,83,33.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15024,Dunbaria rotundifolia,Dunbaria,Fabaceae,NA,15,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15025,Dunbaria singuliflora,Dunbaria,Fabaceae,NA,13.5,4.75,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA
15026,Elaeocarpus miegei,Elaeocarpus,Elaeocarpaceae,NA,105,47.5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
15027,Elatine macrocalyx,Elatine,Elatinaceae,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15028,Endospermum medullosum,Endospermum,Euphorbiaceae,NA,115,103,35,NA,0.327,NA,NA,NA,NA,NA,NA,NA
15029,Eriosema chinense,Eriosema,Fabaceae,NA,67.5,5,0.8,NA,NA,NA,NA,10.8,NA,NA,NA,NA
15030,Corymbia ferruginea,Corymbia,Myrtaceae,170,100,65,12,5600,0.55,NA,8.4,NA,0.43,541,NA,NA
15031,Corymbia grandifolia,Corymbia,Myrtaceae,NA,138,72.5,15,12400,NA,NA,NA,NA,NA,NA,NA,NA
15032,Corymbia ptychocarpa,Corymbia,Myrtaceae,NA,222,62.5,12,NA,NA,NA,9.05,NA,NA,501,NA,NA
15033,Euphorbia armstrongiana,Euphorbia,Euphorbiaceae,NA,12.5,7.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15034,Euphorbia atoto,Euphorbia,Euphorbiaceae,NA,21,11,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
15035,Euphorbia muelleri,Euphorbia,Euphorbiaceae,NA,14,11,NA,NA,NA,NA,NA,3.96,NA,NA,NA,NA
15036,Euphorbia schizolepis,Euphorbia,Euphorbiaceae,NA,15.5,16.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15037,Euphorbia schultzii,Euphorbia,Euphorbiaceae,NA,7,4,0.35,NA,NA,NA,NA,0.3,NA,NA,NA,NA
15038,Excoecaria ovalis,Excoecaria,Euphorbiaceae,NA,63.5,35.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15039,Fatoua villosa,Fatoua,Moraceae,NA,28,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15040,Ficus aculeata var. aculeata,Ficus,Moraceae,NA,84,55,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
15041,Ficus carpentariensis,Ficus,Moraceae,NA,115,40.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
15042,Ficus cerasicarpa,Ficus,Moraceae,NA,75.5,43.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
15043,Ficus lilliputiana,Ficus,Moraceae,NA,37.5,23.5,0.45,NA,NA,NA,NA,0.364,NA,NA,NA,NA
15044,Flemingia involucrata,Flemingia,Fabaceae,NA,77.5,45,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15045,Flemingia lineata,Flemingia,Fabaceae,NA,89,33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15046,Flemingia parviflora,Flemingia,Fabaceae,NA,78.5,45,0.5,NA,NA,NA,16.2,13.8,NA,457,NA,NA
15047,Flemingia pauciflora,Flemingia,Fabaceae,NA,40,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15048,Flemingia sp. 'Rum Jungle',Flemingia,Fabaceae,NA,79.5,36,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15049,Flemingia trifoliastrum,Flemingia,Fabaceae,NA,31.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15050,Flueggea virosa subsp. melanthesoides,Flueggea,Phyllanthaceae,NA,75.5,39,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
15051,Galactia sp. Litchfield (S.T.Blake 16645),Galactia,Fabaceae,NA,55.5,12.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
15052,Galactia megalophylla,Galactia,Fabaceae,NA,88.5,56,2,NA,NA,NA,20.2,20.5,NA,NA,NA,NA
15053,Glinus oppositifolius,Glinus,Molluginaceae,NA,22.5,8.5,0.1,NA,NA,NA,NA,0.06,NA,NA,NA,NA
15054,Glinus orygioides,Glinus,Molluginaceae,NA,13.5,8,0.3,NA,NA,NA,NA,0.213,NA,NA,NA,NA
15055,Glinus sessiliflorus,Glinus,Molluginaceae,NA,8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15056,Glochidion perakense var. supra-axillare,Glochidion,Phyllanthaceae,NA,122,50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
15057,Glycine hirticaulis,Glycine,Fabaceae,NA,83.5,5.75,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA
15058,Gompholobium subulatum,Gompholobium,Fabaceae,NA,19,2.6,1,NA,NA,NA,18,6.56,NA,525,NA,NA
15059,Gomphrena atrorubra,Gomphrena,Amaranthaceae,NA,40,2.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15060,Gomphrena canescens,Gomphrena,Amaranthaceae,NA,65,3,0.9,NA,NA,NA,NA,2.18,NA,NA,NA,NA
15061,Gomphrena connata,Gomphrena,Amaranthaceae,NA,30,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15062,Gomphrena diffusa subsp. diffusa,Gomphrena,Amaranthaceae,NA,26.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15063,Gomphrena flaccida,Gomphrena,Amaranthaceae,NA,70,6.5,1,NA,NA,NA,NA,0.7,NA,NA,NA,NA
15064,Gomphrena floribunda,Gomphrena,Amaranthaceae,NA,12.5,3,0.25,NA,NA,NA,NA,0.829,NA,NA,NA,NA
15065,Gomphrena involucrata,Gomphrena,Amaranthaceae,NA,38.5,3.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15066,Gomphrena lacinulata,Gomphrena,Amaranthaceae,NA,40,4,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
15067,Gomphrena magentitepala,Gomphrena,Amaranthaceae,NA,22.5,3.25,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15068,Gomphrena parviflora,Gomphrena,Amaranthaceae,NA,27.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15069,Gomphrena rosula,Gomphrena,Amaranthaceae,NA,65,3.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15070,Grevillea goodii subsp. Goodii,Grevillea,Proteaceae,NA,112,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15071,Grevillea goodii subsp. Pluricaulis,Grevillea,Proteaceae,NA,215,56,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15072,Grewia orbifolia,Grewia,Malvaceae,NA,34,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15073,Hibbertia angulata,Hibbertia,Dilleniaceae,NA,21.5,1.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15074,Hibbertia brevipedunculata,Hibbertia,Dilleniaceae,NA,73.5,5.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
15075,Hibbertia caudice,Hibbertia,Dilleniaceae,NA,42,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15076,Hibbertia ciliolata,Hibbertia,Dilleniaceae,NA,46,6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15077,Hibbertia cistifolia,Hibbertia,Dilleniaceae,NA,33.5,10.2,0.3,NA,NA,NA,NA,6.1,NA,NA,NA,NA
15078,Hibbertia cravenii,Hibbertia,Dilleniaceae,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15079,Hibbertia fractiflexa subsp. serotina,Hibbertia,Dilleniaceae,NA,32.5,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15080,Hibbertia goyderi,Hibbertia,Dilleniaceae,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15081,Hibbertia haplostemona,Hibbertia,Dilleniaceae,NA,35,15.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15082,Hibbertia juncea,Hibbertia,Dilleniaceae,247,NA,NA,1.5,630,NA,NA,6.72,27.7,0.355,474,NA,NA
15083,Hibbertia lepidota,Hibbertia,Dilleniaceae,182,28.5,1.35,1.5,26,0.7,NA,8,5.74,0.25,489,NA,NA
15084,Hibbertia praestans,Hibbertia,Dilleniaceae,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15085,Hibbertia sphenandra,Hibbertia,Dilleniaceae,NA,30,16.5,0.25,NA,NA,NA,NA,14.7,NA,NA,NA,NA
15086,Indigastrum parviflorum,Indigastrum,Fabaceae,NA,26,3.5,1.5,NA,NA,NA,NA,4.23,NA,NA,NA,NA
15087,Indigofera polygaloides,Indigofera,Fabaceae,NA,11.2,7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15088,Indigofera elachantha,Indigofera,Fabaceae,NA,27.5,16,2,NA,NA,NA,NA,2.2,NA,NA,NA,NA
15089,Indigofera schultziana,Indigofera,Fabaceae,NA,64,40,0.6,NA,NA,NA,NA,3.65,NA,NA,NA,NA
15090,Indigofera trifoliata,Indigofera,Fabaceae,NA,20.2,5.75,1.2,NA,NA,NA,NA,1.2,NA,NA,NA,NA
15091,Indigofera trita subsp. Trita,Indigofera,Fabaceae,NA,14.5,7,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
15092,Notoleptopus decaisnei,Notoleptopus,Phyllanthaceae,NA,20,13.5,1,NA,NA,NA,NA,1.55,NA,NA,NA,NA
15093,Leptosema uniflorum,Leptosema,Fabaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15094,Leptospermum madidum subsp. Sativum,Leptospermum,Myrtaceae,NA,39,3.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
15095,Leucopogon acuminatus,Leucopogon,Ericaceae,NA,11,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15096,Ludwigia adscendens,Ludwigia,Onagraceae,NA,45.5,19,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA
15097,Ludwigia perennis,Ludwigia,Onagraceae,NA,64,6,1.5,NA,NA,NA,NA,0.0146,NA,NA,NA,NA
15098,Luffa graveolens,Luffa,Cucurbitaceae,NA,72.5,85,NA,NA,NA,NA,NA,22.2,NA,NA,NA,NA
15099,Macarthuria vertex,Macarthuria,Limeaceae,NA,55,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15100,Mallotus didymochryseus,Mallotus,Euphorbiaceae,NA,108,87.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
15101,Melaleuca acacioides,Melaleuca,Myrtaceae,NA,47.5,9,5,NA,NA,NA,NA,0.337,NA,NA,NA,NA
15102,Trigastrotheca molluginea,Trigastrotheca,Molluginaceae,NA,30,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15103,Mucuna reptans,Mucuna,Fabaceae,NA,100,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15104,Muehlenbeckia sp. Mt Brockman (L.A.Craven 2357),Muehlenbeckia,Polygonaceae,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15105,Myriophyllum muricatum,Myriophyllum,Haloragaceae,NA,37.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15106,Lithomyrtus retusa,Lithomyrtus,Myrtaceae,NA,22.5,4.25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
15107,Nelumbo nucifera,Nelumbo,Nelumbonaceae,NA,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15108,Neptunia sp. 'Darwin',Neptunia,Fabaceae,NA,5.5,1.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15109,Omegandra kanisii,Omegandra,Amaranthaceae,NA,1.5,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
15110,Persicaria barbata,Persicaria,Polygonaceae,NA,100,20,1,NA,NA,NA,NA,0.625,NA,NA,NA,NA
15111,Phyllanthus eutaxioides,Phyllanthus,Phyllanthaceae,NA,18.5,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
15112,Phyllanthus flagellaris,Phyllanthus,Phyllanthaceae,NA,9,6.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
15113,Phyllanthus debilis,Phyllanthus,Phyllanthaceae,NA,8.25,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
15114,Phyllanthus exilis,Phyllanthus,Phyllanthaceae,NA,9.5,2.25,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15115,Phyllanthus trachygyne,Phyllanthus,Phyllanthaceae,NA,14,3.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
15116,Phyllanthus urinaria,Phyllanthus,Phyllanthaceae,NA,10,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15117,Pittosporum ferrugineum subsp. ferrugineum,Pittosporum,Pittosporaceae,NA,89,33,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
15118,Polycarpaea breviflora,Polycarpaea,Caryophyllaceae,NA,18.5,0.85,0.25,NA,NA,NA,NA,0.0386,NA,NA,NA,NA
15119,Polycarpaea holtzei,Polycarpaea,Caryophyllaceae,NA,7,NA,0.13,NA,NA,NA,NA,0.135,NA,NA,NA,NA
15120,Polycarpaea incana,Polycarpaea,Caryophyllaceae,NA,3.5,0.6,0.15,NA,NA,NA,NA,0.0204,NA,NA,NA,NA
15121,Polycarpaea involucrata,Polycarpaea,Caryophyllaceae,NA,7.25,1.6,0.2,NA,NA,NA,NA,0.0296,NA,NA,NA,NA
15122,Polycarpaea longiflora,Polycarpaea,Caryophyllaceae,NA,28.5,1.9,1,NA,NA,NA,NA,0.0984,NA,NA,NA,NA
